Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Total,Seats Remaining,Has WL,Units,
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10259","Architecture (ARCH) Open Sections"," 323","005","History Arch II","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","10-11AM","2213 A&AB","Herscher","  12","  12","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","18322","Architecture (ARCH) Open Sections"," 323","008","History Arch II","DIS","P R","","","","","F","","","01/03/2018","04/17/2018","11-12PM","2213 A&AB","Herscher","  12","  12","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10256","Architecture (ARCH) Open Sections"," 323","001","History Arch II","LEC","A  ","M","","W","","","","","01/03/2018","04/17/2018","11-12PM","2104 A&AB","Herscher"," "," "," ","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10261","Architecture (ARCH) Open Sections"," 324","002","Structures II","REC","P R","","","W","","","","","01/03/2018","04/17/2018","10-11AM","ARR",""," 125"," 125","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10260","Architecture (ARCH) Open Sections"," 324","001","Structures II","LEC","A  ","M","","","","F","","","01/03/2018","04/17/2018","10-11AM","2104 A&AB","von Buelow"," "," "," ","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10266","Architecture (ARCH) Open Sections"," 326","001","Design Fundamntl II","LAB","P R","M","","W","","","","","01/03/2018","04/17/2018","9-10AM","2104 A&AB","Knoblauch"," 100"," 100","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10266","Architecture (ARCH) Open Sections"," 326","001","Design Fundamntl II","LAB","P R","","","","","F","","","01/03/2018","04/17/2018","9-10AM","1360 A&AB",""," 100"," 100","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","26151","Architecture (ARCH) Open Sections"," 333","001","Fabrication/Represen","LAB","P R","","","","TH","","","","01/03/2018","04/17/2018","3-4PM","2104 A&AB","McCullough","  60","  60","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","26151","Architecture (ARCH) Open Sections"," 333","001","Fabrication/Represen","LAB","P R","","","","TH","","","","01/03/2018","04/17/2018","4-6PM","2210 A&AB","","  60","  60","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32238","Architecture (ARCH) Open Sections"," 409","002","Special Topics Arch","LEC","P R","","T","","","","","","01/03/2018","04/17/2018","230-530PM","1360 A&AB","Harris","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","26023","Architecture (ARCH) Open Sections"," 409","004","Special Topics Arch","LEC","P R","","T","","","","","","01/03/2018","04/17/2018","1-4PM","2222 A&AB","Meier","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","16418","Architecture (ARCH) Open Sections"," 422","001","Arch Design II","LAB","P R","M","","W","","F","","","01/03/2018","04/17/2018","1-5PM","3100 A&AB","Moran","  50","  50","N","6.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10271","Architecture (ARCH) Open Sections"," 423","002","Int U P&Env","DIS","P  ","","","","TH","","","","01/03/2018","04/17/2018","12-1PM","1567 CCL","","  27","  27","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10272","Architecture (ARCH) Open Sections"," 423","003","Int U P&Env","DIS","P  ","","","","","F","","","01/03/2018","04/17/2018","12-1PM","180 TAP","","  27","  27","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10273","Architecture (ARCH) Open Sections"," 423","004","Int U P&Env","DIS","P  ","","","","","F","","","01/03/2018","04/17/2018","12-1PM","3411 MH","","  27","  27","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10270","Architecture (ARCH) Open Sections"," 423","001","Int U P&Env","LEC","S  ","","T","","TH","","","","01/03/2018","04/17/2018","9-10AM","1040 DANA","Etienne"," "," "," ","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","25905","Architecture (ARCH) Open Sections"," 425","001","Environmental Sys","LEC","P R","","T","","TH","","","","01/03/2018","04/17/2018","9-1030AM","2104 A&AB","Kim","  75","  75","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","27623","Architecture (ARCH) Open Sections"," 425","002","Environmental Sys","LEC","P R","","T","","TH","","","","01/03/2018","04/17/2018","1030-12PM","2104 A&AB","Junghans","  50","  50","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","27598","Architecture (ARCH) Open Sections"," 441","001","Wallenberg Seminar","LEC","P R","M","","","","","","","01/03/2018","04/17/2018","5-6PM","1360 A&AB","Haar"," 100"," 100","N","1.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10274","Architecture (ARCH) Open Sections"," 442","001","Arch Des IV","LAB","P R","M","","W","","F","","","01/03/2018","04/17/2018","1-5PM","3100 A&AB","Sirota"," 125"," 125","N","6.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","20491","Architecture (ARCH) Open Sections"," 505","001","Spec Topics Env Tech","LEC","P R","","","","","F","","","01/03/2018","04/17/2018","9-12PM","2222 A&AB","Junghans","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","21247","Architecture (ARCH) Open Sections"," 506","001","Spec Topics Des Fund","SEM","P R","M","","","","","","","01/03/2018","04/17/2018","1-4PM","2204 A&AB","Groat","  10","  10","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","18797","Architecture (ARCH) Open Sections"," 506","002","Spec Topics Des Fund","SEM","P  ","","","W","","","","","01/03/2018","04/17/2018","1-4PM","2210 A&AB","Ray","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","24517","Architecture (ARCH) Open Sections"," 506","003","Spec Topics Des Fund","SEM","P  ","","T","","TH","","","","01/03/2018","04/17/2018","1030-12PM","2108 A&AB","Kelbaugh","  30","  30","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","19582","Architecture (ARCH) Open Sections"," 506","004","Spec Topics Des Fund","SEM","P  ","","","W","","","","","01/03/2018","04/17/2018","9-12PM","2222 A&AB","McMorrough","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","21378","Architecture (ARCH) Open Sections"," 506","005","Spec Topics Des Fund","SEM","P  ","","","W","","","","","01/03/2018","04/17/2018","1230-4PM","2222 A&AB","Strickland","  15","  15","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32189","Architecture (ARCH) Open Sections"," 506","006","Spec Topics Des Fund","LEC","P  ","","","W","","","","","01/03/2018","04/17/2018","6-9PM","1360 A&AB","Arquero De Alarcon","  12","  12","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32333","Architecture (ARCH) Open Sections"," 506","007","Spec Topics Des Fund","LEC","P  ","","","","","F","","","01/03/2018","04/17/2018","9-12PM","2204 A&AB","Wilkins","  10","  10","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","23417","Architecture (ARCH) Open Sections"," 507","001","Spec Topics Constr","LEC","P  ","","T","","","","","","01/03/2018","04/17/2018","9-12PM","ARR","Mankouche","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","27658","Architecture (ARCH) Open Sections"," 507","002","Spec Topics Constr","LEC","P  ","M","","W","","","","","01/08/2018","04/17/2018","1130-1PM","1028 DANA","Reames","  40","  40","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","27911","Architecture (ARCH) Open Sections"," 507","003","Spec Topics Constr","LEC","P  ","","T","","","","","","01/03/2018","04/17/2018","9-12PM","2227 A&AB","Graebner","  12","  12","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","21263","Architecture (ARCH) Open Sections"," 509","002","Experimental Course","SEM","P  ","","","","TH","","","","01/03/2018","04/17/2018","9-12PM","2222 A&AB","Velikov","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","18674","Architecture (ARCH) Open Sections"," 509","003","Experimental Course","SEM","P  ","","T","","","","","","01/03/2018","04/17/2018","9-12PM","2204 A&AB","Wigger","  10","  10","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","21283","Architecture (ARCH) Open Sections"," 509","004","Experimental Course","SEM","P  ","","T","","","","","","01/03/2018","04/17/2018","9-12PM","1360 A&AB","Moran","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","27913","Architecture (ARCH) Open Sections"," 509","005","Experimental Course","SEM","P  ","","","","TH","","","","01/03/2018","04/17/2018","9-12PM","1360 A&AB","Vance","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","27915","Architecture (ARCH) Open Sections"," 509","006","Experimental Course","SEM","P  ","","","","","F","","","01/03/2018","04/17/2018","9-12PM","ARR","Kulper","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","24401","Architecture (ARCH) Open Sections"," 509","010","Experimental Course","SEM","P  ","","","W","","","","","01/03/2018","04/17/2018","6-9PM","2222 A&AB","Borum","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","24792","Architecture (ARCH) Open Sections"," 509","014","Experimental Course","SEM","P  ","","","","","F","","","01/03/2018","04/17/2018","9-12PM","ARR","Jazairy","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","27912","Architecture (ARCH) Open Sections"," 509","015","Experimental Course","SEM","P  ","","","","TH","","","","01/03/2018","04/17/2018","9-12PM","2213 A&AB","Robinson","  15","  15","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","28484","Architecture (ARCH) Open Sections"," 509","016","Experimental Course","SEM","P  ","M","","","","","","","01/03/2018","04/17/2018","1-4PM","2108 A&AB","Miller","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32489","Architecture (ARCH) Open Sections"," 509","017","Experimental Course","SEM","P  ","M","","W","","","","","01/03/2018","04/17/2018","10-1130AM","ARR","Thomson","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","25975","Architecture (ARCH) Open Sections"," 516","002","Arch Representation","LAB","P R","M","","","","","","","01/03/2018","04/17/2018","230-5PM","1360 A&AB","Tursack","  80","  80","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","25973","Architecture (ARCH) Open Sections"," 516","001","Arch Representation","LEC","A  ","M","","","","","","","01/03/2018","04/17/2018","5-6PM","2104 A&AB","Morcillo Pallares"," "," "," ","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","21124","Architecture (ARCH) Open Sections"," 517","001","Arch Pln DV","LEC","P  ","","","","TH","","","","01/03/2018","04/17/2018","1-4PM","2222 A&AB","McCullough","  25","  25","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","19999","Architecture (ARCH) Open Sections"," 524","001","Surface Structures","LEC","P  ","M","","W","","","","","01/03/2018","04/17/2018","9-1030AM","2213 A&AB","Giles","  15","  15","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","19998","Architecture (ARCH) Open Sections"," 525","001","Comp Appl Env Tech","LEC","P  ","","","","","F","","","01/03/2018","04/17/2018","9-12PM","2227 A&AB","Navvab","  10","  10","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","21155","Architecture (ARCH) Open Sections"," 531","001","American Space","SEM","P  ","","T","","","","","","01/03/2018","04/17/2018","9-12PM","2213 A&AB","McCullough","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32237","Architecture (ARCH) Open Sections"," 544","001","Wood Structures","LEC","P  ","M","","W","","","","","01/03/2018","04/17/2018","1-230PM","2213 A&AB","von Buelow","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","21265","Architecture (ARCH) Open Sections"," 545","001","Adv Lighting Des","LEC","P  ","","","","TH","","","","01/03/2018","04/17/2018","1-4PM","2204 A&AB","Navvab","  12","  12","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32388","Architecture (ARCH) Open Sections"," 546","001","Outlooks: Dis Crit","SEM","P  ","M","","","","","","","01/03/2018","04/17/2018","9-12PM","2222 A&AB","Mitnick","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","23629","Architecture (ARCH) Open Sections"," 553","001","American Arch","LEC","P  ","","","","TH","","","","01/03/2018","04/17/2018","1-4PM","2108 A&AB","Rovang","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10278","Architecture (ARCH) Open Sections"," 554","001","Steel Structures","LEC","P  ","","T","","","","","","01/03/2018","04/17/2018","9-12PM","2222 A&AB","Giles","  15","  15","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10279","Architecture (ARCH) Open Sections"," 562","001","Arch Design VI","LAB","P R","","T","","","F","","","01/03/2018","04/17/2018","1-6PM","3100 A&AB","Borum"," 180"," 180","N","6.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","17198","Architecture (ARCH) Open Sections"," 572","002","Arch Theory&Crit","DIS","P R","","","W","","","","","01/03/2018","04/17/2018","3-4PM","ARR","McMorrough"," 190"," 190","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","17197","Architecture (ARCH) Open Sections"," 572","001","Arch Theory&Crit","LEC","A  ","","","","","F","","","01/03/2018","04/17/2018","9-11AM","ARR","McMorrough"," "," "," ","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32239","Architecture (ARCH) Open Sections"," 582","001","Alternative Practice","SEM","P  ","","","W","","","","","01/03/2018","04/17/2018","6-9PM","2227 A&AB","Groat","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10284","Architecture (ARCH) Open Sections"," 583","001","Professnl Pract","LEC","P R","M","","","","","","","01/03/2018","04/17/2018","130-430PM","2104 A&AB","Schmidt","  60","  60","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","22521","Architecture (ARCH) Open Sections"," 585","001","Adv Building Tech","LEC","P  ","","","","TH","","","","01/03/2018","04/17/2018","1-4PM","2210 A&AB","Kim","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","22663","Architecture (ARCH) Open Sections"," 591","001","Design Computing","SEM","P  ","M","","","","","","","01/03/2018","04/17/2018","9-12PM","ARR","del Campo","  15","  15","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","31189","Architecture (ARCH) Open Sections"," 595","001","Matl Sel Sus Des","LEC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","1130-1PM","1045 GGBL","Li","  24","  24","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","27914","Architecture (ARCH) Open Sections"," 597","001","Detailing","LEC","P  ","","","W","","","","","01/03/2018","04/17/2018","1-4PM","2108 A&AB","Kennedy","  15","  15","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","26021","Architecture (ARCH) Open Sections"," 603","002","Sem Arch History","SEM","P  ","","","W","","","","","01/03/2018","04/17/2018","1-4PM","2227 A&AB","Rovang","  12","  12","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","21797","Architecture (ARCH) Open Sections"," 609","001","Disability Studies","SEM","PI ","","","","TH","","","","01/03/2018","04/17/2018","2-5PM","3401 MH","Adams","  20","  20","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","26084","Architecture (ARCH) Open Sections"," 739","001","MS Capstone","SEM","P R","","T","","","F","","","01/03/2018","04/17/2018","1-6PM","ARR","Mcgee","  17","  17","N","6.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","29807","Architecture (ARCH) Open Sections"," 739","002","MS Capstone","SEM","P R","","T","","","F","","","01/03/2018","04/17/2018","1-6PM","ARR","Adams","  10","  10","N","6.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","26087","Architecture (ARCH) Open Sections"," 739","003","MS Capstone","SEM","P R","","T","","","F","","","01/03/2018","04/17/2018","1-6PM","ARR","Ahlquist","  10","  10","N","6.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","24392","Architecture (ARCH) Open Sections"," 801","001","Collo Ethics Doc Res","SEM","P  ","","","","","F","","","01/03/2018","04/17/2018","3-5PM","2213 A&AB","Knoblauch","  10","  10","N","1.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32497","Architecture (ARCH) Open Sections"," 824","001","Sem Design Studies","SEM","P  ","M","","","","","","","01/03/2018","04/17/2018","1-4PM","2210 A&AB","Knoblauch","  15","  15","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10293","Architecture (ARCH) Open Sections"," 993","001","Teach Meth Gsi","SEM","P  ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Grengs, Haar","  35","  35","N","1.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","23555","Urban Design (UD) Open Sections"," 717","001","Intg Proj Dev Sem 2","SEM","P  ","M","","","","","","","01/03/2018","04/17/2018","1-3PM","2227 A&AB","McCullough","  14","  14","N","1.50",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","27751","Urban Design (UD) Open Sections"," 718","001","Theor&Methods in UD","SEM","P R","M","","W","","","","","01/03/2018","04/17/2018","1030-12PM","2213 A&AB","Clutter, Arquero De Alarcon","  15","  15","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","18779","Urban Design (UD) Open Sections"," 732","001","UD Studio III","LAB","P R","","T","","","F","","","01/03/2018","04/17/2018","1-6PM","3100 A&AB","Clutter","  20","  20","N","6.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","31990","Urban and Regional Planning (URP) Open Sections"," 402","001","Ug Experimental Crs","LEC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","330-5PM","2213 A&AB","Thomas","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10296","Urban and Regional Planning (URP) Open Sections"," 423","002","Int U P&Env","DIS","P  ","","","","TH","","","","01/03/2018","04/17/2018","12-1PM","1567 CCL","","  27","  27","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10297","Urban and Regional Planning (URP) Open Sections"," 423","003","Int U P&Env","DIS","P  ","","","","","F","","","01/03/2018","04/17/2018","12-1PM","180 TAP","","  27","  27","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10298","Urban and Regional Planning (URP) Open Sections"," 423","004","Int U P&Env","DIS","P  ","","","","","F","","","01/03/2018","04/17/2018","12-1PM","3411 MH","","  27","  27","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10295","Urban and Regional Planning (URP) Open Sections"," 423","001","Int U P&Env","LEC","A  ","","T","","TH","","","","01/03/2018","04/17/2018","9-10AM","1040 DANA","Etienne"," "," "," ","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","27731","Urban and Regional Planning (URP) Open Sections"," 502","001","U.S. Plng Inst & Law","LEC","P R","M","","W","","","","","01/03/2018","04/17/2018","1030-12PM","2108 A&AB","Norton, Steiff","  50","  50","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","31564","Urban and Regional Planning (URP) Open Sections"," 503","001","Comp Plng Ins&Law","LEC","P R","M","","W","","","","","01/03/2018","04/17/2018","1030-12PM","2210 A&AB","Pimentel Walker, Steiff","  25","  25","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","10299","Urban and Regional Planning (URP) Open Sections"," 506","001","Plng Mthds Quant","LEC","P R","M","","W","","","","","01/03/2018","04/17/2018","1-230PM","1360 A&AB","Goodspeed","  60","  60","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","27733","Urban and Regional Planning (URP) Open Sections"," 507","001","Fund Of Pln Prac","LEC","P R","","T","","TH","","","","01/03/2018","04/17/2018","1-230PM","1360 A&AB","Larsen","  45","  45","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","23411","Urban and Regional Planning (URP) Open Sections"," 520","002","Intro to GIS","LAB","P R","","","","TH","","","","01/03/2018","04/17/2018","430-7PM","ARR","Deng","  10","  10","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","24385","Urban and Regional Planning (URP) Open Sections"," 520","003","Intro to GIS","LAB","P R","","","","","F","","","01/03/2018","04/17/2018","830-11AM","ARR","Deng","  10","  10","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","31981","Urban and Regional Planning (URP) Open Sections"," 520","004","Intro to GIS","LAB","P  ","","","","","F","","","01/03/2018","04/17/2018","1-330PM","ARR","Deng","  10","  10","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","23410","Urban and Regional Planning (URP) Open Sections"," 520","001","Intro to GIS","LEC","A  ","","T","","TH","","","","01/03/2018","04/17/2018","230-330PM","2213 A&AB","Deng"," "," "," ","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32223","Urban and Regional Planning (URP) Open Sections"," 521","001","Intmed Geo Info Sys","LAB","P R","M","","","","","","","01/03/2018","04/17/2018","6-9PM","ARR","Bedogne","  15","  15","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","31973","Urban and Regional Planning (URP) Open Sections"," 523","001","Comp Part Plng","SEM","P  ","M","","W","","","","","01/03/2018","04/17/2018","4-530PM","2108 A&AB","Pimentel Walker","  25","  25","N","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","32187","Urban and Regional Planning (URP) Open Sections"," 524","001","Prog Eval Urban Plan","LEC","P  ","","T","","","","","","01/03/2018","04/17/2018","330-630PM","2210 A&AB","Hoey","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","21978","Urban and Regional Planning (URP) Open Sections"," 540","001","Land Use Plng&Dev Mg","LEC","P R","","T","","TH","","","","01/03/2018","04/17/2018","9-1030AM","2210 A&AB","Larsen","  24","  24","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","18155","Urban and Regional Planning (URP) Open Sections"," 541","001","Urban Land Use Plng","LEC","P R","","","","","F","","","01/03/2018","04/17/2018","830-1130AM","2108 A&AB","Kahan","  25","  25","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","31993","Urban and Regional Planning (URP) Open Sections"," 542","001","Env Pln:Iss&Concept","LEC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","4-530PM","2108 A&AB","Dale","  20","  20","Y","3.00",
"Winter 2018","Regular Academic Session","Architecture & Urban Planning","21900","Urban and Regional Planning (URP) Open Sections"," 550","001","Plng Represent&Com","SEM","P R","","","W","","","","","01/03/2018","04/17/2018","330-730PM","2213 A&AB","Dowdell","  16","  16","Y","4.00",
